customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
cust0083,female,1,yes,no,71,yes,yes,fiber optic,yes,no,no,yes,no,no,one year,no,bank transfer,112.54,7990.34,yes
cust0084,male,0,no,no,7,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,111.45,780.15,yes
cust0085,male,0,no,no,69,no,no phone service,dsl,no,yes,no,yes,yes,yes,month-to-month,no,bank transfer,75.16,5186.04,no
cust0086,female,0,yes,no,65,no,no phone service,dsl,yes,yes,yes,yes,no,yes,one year,yes,electronic check,27.9,1813.5,yes
cust0087,male,1,yes,no,46,no,no phone service,dsl,no,no,yes,no,yes,yes,two year,yes,bank transfer,27.33,1257.18,no
cust0088,female,0,yes,no,18,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer,60.28,1085.04,yes
cust0089,female,0,yes,yes,13,yes,no,fiber optic,yes,yes,yes,no,no,yes,one year,yes,electronic check,93.29,1212.77,no
cust0090,female,0,no,no,25,no,no phone service,dsl,yes,yes,no,yes,no,no,one year,no,mailed check,69.73,1743.25,yes
cust0091,female,1,no,yes,8,yes,yes,fiber optic,no,no,yes,yes,no,no,two year,no,bank transfer,82.74,661.92,yes
cust0092,female,0,yes,yes,32,yes,no,fiber optic,yes,yes,no,no,no,no,month-to-month,no,electronic check,104.33,3338.56,yes
cust0093,female,0,yes,no,17,yes,yes,fiber optic,yes,yes,no,no,no,yes,two year,no,bank transfer,24.03,408.51,yes
cust0094,female,0,yes,yes,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,112.38,5394.24,yes
cust0095,female,0,no,no,63,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card,53.09,3344.67,yes
cust0096,female,0,yes,yes,40,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer,24.68,987.2,no
cust0097,female,1,yes,yes,15,no,no phone service,dsl,yes,no,yes,yes,yes,no,month-to-month,yes,mailed check,103.54,1553.1,yes
cust0098,female,1,no,yes,6,no,no phone service,fiber optic,yes,yes,no,yes,yes,no,two year,no,bank transfer,113.42,680.52,no
cust0099,male,1,no,no,63,yes,yes,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,electronic check,96.86,6102.18,yes
cust0100,male,0,yes,yes,8,yes,no,fiber optic,yes,yes,no,no,no,yes,one year,no,electronic check,100.45,803.6,no
cust0101,female,1,yes,yes,32,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card,107.13,3428.16,no
cust0102,female,1,no,yes,45,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,72.24,3250.8,yes
cust0103,female,1,yes,no,52,no,no phone service,dsl,yes,yes,no,yes,no,yes,two year,yes,bank transfer,88.05,4578.6,no
cust0104,female,0,yes,yes,13,no,no phone service,fiber optic,yes,yes,yes,no,yes,yes,one year,no,credit card,48.65,632.45,no
cust0105,female,0,no,no,24,no,no phone service,fiber optic,yes,no,no,no,no,yes,one year,no,mailed check,44.97,1079.28,no
cust0106,female,1,no,yes,40,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,80.89,3235.6,no
cust0107,female,1,no,yes,14,no,no phone service,dsl,yes,yes,no,yes,no,yes,month-to-month,yes,electronic check,93.46,1308.44,yes
cust0108,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,no,no,yes,month-to-month,yes,credit card,59.71,4179.7,no
cust0109,male,0,no,no,62,no,no phone service,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,mailed check,60.03,3721.86,no
cust0110,female,1,no,yes,61,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,115.42,7040.62,yes
cust0111,male,0,yes,yes,1,no,no phone service,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,credit card,71.85,71.85,no
cust0112,female,1,yes,yes,66,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,118.63,7829.58,yes
cust0113,female,0,no,yes,32,no,no phone service,dsl,yes,no,yes,no,yes,yes,two year,no,credit card,106.28,3400.96,yes
cust0114,male,1,no,no,13,yes,no,fiber optic,yes,no,no,no,no,no,two year,no,electronic check,83.97,1091.61,yes
cust0115,female,1,yes,yes,33,yes,yes,fiber optic,yes,no,yes,yes,no,yes,month-to-month,no,electronic check,20.91,690.03,yes
cust0116,male,0,yes,yes,32,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,49.59,1586.88,yes
cust0117,female,1,no,yes,56,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,61.76,3458.56,no
cust0118,female,1,no,yes,24,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,85.28,2046.72,no
cust0119,male,1,yes,no,4,yes,yes,fiber optic,yes,yes,yes,yes,no,no,month-to-month,yes,mailed check,59.55,238.2,no
cust0120,female,0,no,yes,23,no,no phone service,fiber optic,yes,no,no,yes,yes,no,month-to-month,yes,electronic check,102.78,2363.94,no
cust0121,male,0,yes,yes,29,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,no,mailed check,86.29,2502.41,yes
cust0122,female,0,no,no,21,yes,yes,dsl,yes,yes,no,no,yes,yes,two year,no,electronic check,54.72,1149.12,no
cust0123,male,1,yes,yes,30,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer,98.44,2953.2,no
cust0124,male,0,yes,yes,20,no,no phone service,dsl,no,no,yes,yes,no,no,month-to-month,no,credit card,50.31,1006.2,yes
cust0125,female,1,no,yes,16,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card,26.28,420.48,yes
cust0126,female,1,no,no,67,yes,no,fiber optic,no,yes,yes,yes,no,no,one year,yes,credit card,37.26,2496.42,yes
cust0127,male,0,yes,yes,49,no,no phone service,dsl,no,no,no,yes,yes,no,one year,yes,bank transfer,20.27,993.23,no
cust0128,female,0,no,no,58,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,bank transfer,103.24,5987.92,yes
cust0129,female,1,no,no,44,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer,82.71,3639.24,no
cust0130,female,1,no,no,25,yes,yes,dsl,yes,no,yes,no,no,yes,month-to-month,no,bank transfer,77.06,1926.5,no
cust0131,male,0,yes,no,23,no,no phone service,dsl,yes,yes,yes,no,yes,yes,two year,no,electronic check,86.2,1982.6,yes
cust0132,male,0,no,no,59,no,no phone service,fiber optic,no,no,yes,no,yes,yes,two year,no,mailed check,85.36,5036.24,no
cust0133,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,76.55,76.55,no
cust0134,male,1,yes,no,15,yes,no,dsl,no,no,no,no,yes,no,two year,no,electronic check,104.24,1563.6,no
cust0135,male,1,no,yes,52,no,no phone service,fiber optic,yes,yes,no,no,yes,no,two year,no,mailed check,64.09,3332.68,no
cust0136,male,1,no,yes,58,yes,yes,dsl,no,no,yes,yes,yes,no,two year,yes,mailed check,100.48,5827.84,no
cust0137,male,1,yes,no,41,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,bank transfer,98.66,4045.06,yes
cust0138,male,1,yes,no,44,yes,yes,dsl,no,yes,no,no,no,yes,two year,yes,bank transfer,39.95,1757.8,no
cust0139,male,0,no,no,4,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,no,mailed check,65.38,261.52,no
cust0140,female,0,no,no,68,no,no phone service,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,mailed check,103.49,7037.32,no
cust0141,male,1,yes,no,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,103.09,721.63,yes
cust0142,female,1,yes,no,46,no,no phone service,fiber optic,no,no,yes,yes,no,no,month-to-month,no,bank transfer,22.4,1030.4,no
cust0143,female,0,no,yes,9,no,no phone service,dsl,no,yes,yes,yes,yes,yes,month-to-month,no,mailed check,42.31,380.79,yes
cust0144,female,0,no,yes,33,no,no phone service,fiber optic,no,yes,no,yes,yes,yes,month-to-month,yes,mailed check,62.39,2058.87,yes
cust0145,male,0,no,no,33,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card,24.72,815.76,no
cust0146,male,0,yes,no,4,no,no phone service,dsl,no,no,yes,yes,no,yes,month-to-month,no,bank transfer,46.06,184.24,yes
cust0147,male,1,no,no,65,no,no phone service,dsl,no,no,yes,yes,yes,no,one year,yes,electronic check,45.83,2978.95,yes
cust0148,male,0,yes,yes,34,no,no phone service,fiber optic,yes,no,yes,no,no,no,two year,yes,electronic check,41.46,1409.64,yes
cust0149,female,1,yes,no,64,no,no phone service,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,credit card,59.67,3818.88,yes
cust0150,male,0,yes,yes,25,no,no phone service,fiber optic,no,no,yes,yes,yes,no,two year,yes,bank transfer,101.3,2532.5,no
cust0151,male,0,no,yes,55,yes,yes,fiber optic,yes,no,yes,no,no,yes,month-to-month,no,electronic check,44.41,2442.55,yes
cust0152,male,0,no,yes,9,no,no phone service,fiber optic,no,no,no,yes,yes,yes,one year,no,credit card,78.21,703.89,yes
cust0153,male,1,no,no,17,yes,yes,dsl,yes,no,no,yes,yes,no,two year,yes,electronic check,75.76,1287.92,no
cust0154,male,1,yes,no,21,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,101.79,2137.59,yes
cust0155,female,0,no,yes,60,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card,59.4,3564.0,yes
cust0156,male,1,yes,yes,13,yes,no,fiber optic,no,no,no,no,no,no,one year,no,mailed check,42.36,550.68,yes
cust0157,female,1,yes,yes,3,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,no,mailed check,109.15,327.45,yes
cust0158,male,0,yes,yes,68,no,no phone service,dsl,yes,no,no,no,yes,yes,two year,no,electronic check,103.29,7023.72,yes
cust0159,female,0,yes,no,4,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer,82.15,328.6,no
cust0160,male,1,yes,yes,7,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,29.32,205.24,no
cust0161,male,1,yes,no,26,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,21.61,561.86,yes
cust0162,female,1,no,yes,24,no,no phone service,dsl,no,no,yes,no,yes,yes,month-to-month,no,credit card,38.26,918.24,yes
cust0163,female,0,yes,no,10,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,39.66,396.6,no
cust0164,female,0,no,yes,13,no,no phone service,dsl,no,no,no,yes,no,yes,one year,yes,credit card,33.62,437.06,no
cust0165,male,1,yes,no,44,no,no phone service,fiber optic,no,yes,yes,no,no,no,one year,yes,bank transfer,46.22,2033.68,yes
cust0166,female,0,no,no,39,yes,no,dsl,yes,no,no,no,no,no,one year,no,credit card,53.79,2097.81,no
cust0167,male,0,no,no,19,yes,yes,fiber optic,no,no,no,no,no,yes,two year,yes,mailed check,95.44,1813.36,no
cust0168,male,1,no,yes,51,no,no phone service,fiber optic,yes,yes,no,yes,yes,yes,two year,no,bank transfer,90.95,4638.45,no
cust0169,female,1,no,no,19,yes,no,fiber optic,yes,yes,no,yes,no,yes,two year,no,bank transfer,30.44,578.36,yes
cust0170,female,0,yes,yes,52,yes,yes,fiber optic,no,yes,no,yes,no,no,two year,no,mailed check,117.71,6120.92,yes
cust0171,male,0,yes,no,47,yes,no,dsl,no,no,yes,yes,no,yes,month-to-month,yes,mailed check,95.21,4474.87,yes
cust0172,male,1,yes,no,30,no,no phone service,dsl,yes,no,yes,no,yes,no,one year,no,electronic check,36.34,1090.2,no
cust0173,female,0,yes,yes,46,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card,32.45,1492.7,yes
cust0174,female,0,no,no,21,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,28.75,603.75,no
cust0175,female,1,no,no,48,yes,no,fiber optic,no,no,yes,yes,yes,yes,two year,no,electronic check,93.18,4472.64,yes
cust0176,male,1,no,yes,62,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,43.63,2705.06,yes
cust0177,male,0,yes,no,58,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,27.3,1583.4,no
cust0178,male,0,no,no,18,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,62.18,1119.24,yes
cust0179,male,0,yes,no,59,no,no phone service,fiber optic,no,yes,yes,no,yes,yes,one year,no,mailed check,90.87,5361.33,no
cust0180,male,1,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,50.46,2422.08,yes
cust0181,male,0,no,yes,63,yes,yes,dsl,no,yes,no,yes,no,no,month-to-month,yes,credit card,68.26,4300.38,yes
cust0182,female,0,no,no,12,yes,yes,fiber optic,yes,no,yes,no,no,yes,two year,no,credit card,39.27,471.24,no
cust0183,male,1,no,no,34,yes,yes,dsl,no,yes,no,no,no,no,two year,yes,mailed check,62.91,2138.94,no
cust0184,male,1,no,no,61,no,no phone service,fiber optic,no,no,no,yes,no,yes,two year,no,bank transfer,55.89,3409.29,yes
cust0185,male,0,yes,no,53,no,no phone service,dsl,yes,yes,no,yes,yes,no,one year,no,bank transfer,63.39,3359.67,no
cust0186,female,1,no,no,25,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,66.57,1664.25,yes
cust0187,male,1,yes,no,62,yes,no,fiber optic,yes,yes,yes,no,no,no,two year,yes,bank transfer,29.23,1812.26,yes
cust0188,male,0,yes,no,4,no,no phone service,dsl,no,yes,yes,no,no,yes,two year,no,electronic check,29.34,117.36,yes
cust0189,female,1,yes,no,13,no,no phone service,fiber optic,no,no,no,no,yes,no,two year,yes,credit card,46.06,598.78,no
cust0190,male,1,yes,yes,42,yes,no,dsl,no,yes,no,no,yes,no,month-to-month,yes,bank transfer,31.58,1326.36,no
cust0191,male,0,yes,yes,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,45.28,2218.72,yes
cust0192,male,1,yes,yes,56,no,no phone service,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,electronic check,22.45,1257.2,yes
cust0193,male,0,yes,yes,47,yes,yes,fiber optic,no,no,no,no,yes,no,one year,yes,electronic check,55.07,2588.29,no
cust0194,male,0,yes,no,8,no,no phone service,dsl,no,yes,yes,yes,no,yes,two year,yes,electronic check,41.34,330.72,yes
cust0195,female,1,no,no,55,yes,yes,dsl,yes,yes,yes,no,yes,no,one year,yes,bank transfer,109.21,6006.55,yes
cust0196,female,1,no,yes,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,105.82,1904.76,no
cust0197,female,1,yes,yes,35,no,no phone service,dsl,yes,yes,no,no,yes,no,two year,no,electronic check,50.04,1751.4,yes
cust0198,male,0,yes,yes,32,yes,yes,dsl,no,yes,no,yes,yes,no,month-to-month,no,credit card,67.55,2161.6,no
cust0199,male,1,yes,no,24,yes,yes,dsl,yes,no,no,no,yes,yes,month-to-month,no,bank transfer,115.58,2773.92,no
